Experiment,Features
DS_TRUE,"['x1', 'x2', 'x3']"
DS1AvgSIZ,"['noise7', 'corr2', 'noise9', 'x1', 'noise2', 'x3', 'noise1']"
DS1AvgDIZ,"['noise7', 'corr2', 'noise9', 'x1', 'noise2', 'x3', 'noise1']"
DS1MinSIZ,"['noise7', 'corr2', 'x1', 'x3']"
DS1MinDIZ,"['noise7', 'corr2', 'x1', 'x3']"
DS2AvgSIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2AvgDIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2MinSIZ,"['x3', 'x2', 'x1', 'corr2']"
DS2MinDIZ,"['x3', 'x2', 'x1', 'corr2']"
DS3AvgSIZ,"['x3', 'x2', 'x1', 'noise6']"
DS3AvgDIZ,"['x3', 'x2', 'x1', 'noise6']"
DS3MinSIZ,"['x3', 'x2', 'x1', 'noise6', 'noise4']"
DS3MinDIZ,"['x3', 'x2', 'x1', 'noise6', 'noise4']"
DS4AvgSIZ,"['noise9', 'corr2', 'noise7', 'noise2', 'x2', 'x3', 'x1']"
DS4AvgDIZ,"['noise9', 'corr2', 'noise7', 'noise2', 'x2', 'x3', 'x1']"
DS4MinSIZ,"['noise9', 'corr2', 'noise7', 'x2', 'x3', 'x1']"
DS4MinDIZ,"['noise9', 'corr2', 'noise7', 'x2', 'x3', 'x1']"
DS5AvgSIZ,"['x1', 'noise4', 'x2', 'x3', 'noise2', 'noise10']"
DS5AvgDIZ,"['x1', 'noise4', 'x2', 'x3', 'noise2', 'noise10']"
DS5MinSIZ,"['x1', 'x2', 'x3', 'noise10']"
DS5MinDIZ,"['x1', 'x2', 'x3', 'noise10']"
DS6AvgSIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6AvgDIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6MinSIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS6MinDIZ,"['x3', 'x2', 'x1', 'noise8', 'noise4']"
DS7AvgSIZ,"['x3', 'x2', 'x1', 'noise6']"
DS7AvgDIZ,"['x3', 'x2', 'x1', 'noise6']"
DS7MinSIZ,"['x3', 'x2', 'x1', 'noise7']"
