,1,2,3,4,5,6,7,8,9,10
0,x2,x2,x2,x2,x2,x2,x2,x1,x1,x1
1,x1,x1,x1,x1,x1,x1,x1,x2,x2,x2
2,noise14,noise23,noise23,corr3,x6,x6,x6,x6,x6,x6
3,noise20,noise25,noise30,x6,corr3,corr3,corr3,corr3,corr2,corr2
4,noise23,noise30,noise25,noise23,noise30,corr2,corr2,corr2,x4,x4
5,noise24,noise24,corr3,noise30,corr2,x4,x4,x4,corr3,corr3
6,noise25,noise14,x6,corr2,noise23,noise30,noise39,noise46,noise46,noise46
7,noise29,noise40,corr2,noise25,noise39,noise39,noise46,noise39,noise39,noise39
8,noise30,noise39,noise49,noise49,x4,noise46,noise24,noise7,noise7,noise7
9,noise31,noise49,noise40,noise39,noise50,noise23,noise7,x5,x5,x5
10,noise32,x6,noise39,noise8,noise49,noise50,noise30,noise24,noise24,noise24
11,noise33,noise20,noise8,x4,noise46,noise24,noise8,noise14,noise8,noise8
12,noise34,corr3,noise24,noise50,noise24,noise18,noise23,noise8,noise47,noise47
13,noise35,noise47,noise14,noise24,noise25,noise8,noise50,noise40,noise40,noise40
14,noise38,corr2,noise50,noise40,noise40,noise19,noise14,noise47,noise14,noise15
15,noise39,noise16,noise47,noise46,noise8,noise49,noise47,noise23,corr4,corr4
16,noise40,noise31,x4,noise14,noise18,noise7,x5,noise3,noise3,noise25
17,noise41,noise46,noise46,noise12,noise19,noise47,noise40,corr4,noise15,noise14
18,noise46,noise34,noise20,noise18,noise3,noise40,noise12,noise12,noise25,noise3
19,noise47,noise8,noise3,noise3,noise12,noise25,noise25,noise30,noise23,noise4
20,noise49,noise41,noise16,noise47,noise47,noise12,noise19,noise25,noise30,noise23
21,noise16,noise3,noise33,noise33,noise7,noise14,noise3,noise50,noise12,noise22
22,noise21,noise29,noise41,noise20,noise14,x5,noise18,noise19,noise19,noise16
23,noise3,noise33,noise12,noise19,noise33,noise3,corr4,noise15,noise4,noise2
24,noise8,noise50,corr4,noise7,corr4,corr4,noise49,noise18,noise22,x3
25,x3,x3,noise18,noise41,x5,noise15,noise15,noise41,noise16,noise30
26,x6,corr4,noise7,noise6,noise41,noise33,noise41,noise22,noise50,corr1
27,corr1,x4,noise42,x5,noise2,noise41,noise33,noise49,noise2,noise17
28,corr2,noise32,noise2,corr4,noise15,corr1,noise22,noise16,corr1,noise19
29,corr3,noise38,corr1,noise15,noise20,noise2,corr1,noise4,noise49,noise36
30,corr4,corr1,x5,noise2,noise16,noise22,noise2,corr1,noise17,noise12
31,noise50,noise2,noise31,noise16,corr1,noise21,noise16,noise2,noise41,noise49
32,noise12,noise12,x3,corr1,noise10,noise10,noise4,noise17,noise18,noise50
33,noise11,noise7,noise29,noise42,noise22,noise16,noise10,noise33,x3,noise41
34,noise9,noise35,noise15,noise22,noise42,noise42,noise21,noise36,noise36,noise27
35,noise22,noise42,noise34,noise29,noise21,noise20,noise17,noise21,noise27,noise18
36,noise48,noise43,noise19,noise31,noise6,noise4,noise20,noise10,noise21,noise34
37,x4,noise45,noise38,noise21,noise29,noise29,noise42,x3,noise34,noise21
38,x5,x5,noise6,noise10,noise31,noise17,noise36,noise20,noise33,noise37
39,noise45,noise18,noise43,x3,noise17,noise6,x3,noise27,noise10,noise33
40,noise44,noise21,noise32,noise38,noise5,noise5,noise37,noise42,noise20,noise20
41,noise43,noise6,noise35,noise43,noise43,noise45,noise27,noise34,noise37,noise10
42,noise42,noise44,noise22,noise34,noise38,noise37,noise29,noise37,noise42,noise35
43,noise18,noise22,noise44,noise32,noise4,noise36,noise34,noise5,noise5,noise5
44,noise19,noise15,noise10,noise44,noise34,noise31,noise5,noise6,noise35,noise6
45,noise37,noise11,noise21,noise11,noise45,noise34,noise6,noise29,noise6,noise42
46,noise36,noise19,noise11,noise35,x3,noise27,noise38,noise35,noise45,noise28
47,noise10,noise9,noise5,noise4,noise44,noise38,noise45,noise38,noise28,noise1
48,noise2,noise4,noise45,noise5,noise11,noise43,noise43,noise43,noise29,noise45
49,noise15,noise28,noise28,noise17,noise32,x3,noise35,noise45,noise48,noise48
50,noise4,noise48,noise9,noise45,noise36,noise35,noise31,noise11,noise11,noise11
51,noise6,noise10,noise4,noise36,noise37,noise44,noise32,noise28,noise43,noise29
52,noise28,noise13,noise37,noise26,noise35,noise11,noise11,noise32,noise38,noise38
53,noise27,noise37,noise36,noise37,noise26,noise32,noise44,noise48,noise1,noise32
54,noise7,noise36,noise27,noise28,noise27,noise26,noise26,noise26,noise32,noise43
55,noise13,noise26,noise26,noise27,noise28,noise28,noise28,noise31,noise26,noise31
56,noise1,noise5,noise48,noise9,noise48,noise48,noise48,noise44,noise31,noise44
57,noise17,noise17,noise17,noise48,noise9,noise1,noise1,noise1,noise44,noise26
58,noise5,noise27,noise13,noise13,noise1,noise9,noise9,noise9,noise9,noise9
59,noise26,noise1,noise1,noise1,noise13,noise13,noise13,noise13,noise13,noise13
