,1,2,3,4,5,6,7,8,9,10
0,x2,x2,x2,x2,x1,x1,x1,x1,x1,x1
1,x6,corr3,corr3,x1,x2,x6,x6,x6,x2,x6
2,noise49,x6,x1,corr3,x6,x2,x2,x2,x4,x2
3,noise16,x1,x6,x6,corr3,x4,x4,x4,x6,x3
4,noise21,noise23,corr2,corr2,x4,corr3,corr2,x5,x3,x4
5,noise3,corr2,noise18,x4,corr2,corr2,noise46,corr2,noise46,x5
6,noise8,noise49,x4,noise19,noise19,noise7,noise7,noise46,x5,noise46
7,x3,noise40,noise8,noise18,noise18,x5,corr3,noise4,noise7,noise7
8,corr1,noise7,noise19,noise50,noise46,noise46,noise39,noise7,noise4,noise4
9,noise46,noise30,noise23,noise8,noise50,noise47,x3,noise39,corr2,corr2
10,corr2,noise25,noise30,noise30,noise30,noise15,x5,x3,noise39,noise39
11,corr3,noise39,noise49,noise12,noise7,noise19,noise4,corr3,noise27,noise27
12,x1,noise2,noise25,noise46,corr4,noise18,noise36,noise36,noise36,noise36
13,noise50,noise16,noise50,noise39,noise39,noise4,corr4,corr4,noise16,noise2
14,noise12,noise50,noise15,noise6,x5,noise24,noise14,noise17,noise34,noise16
15,noise11,noise24,noise12,noise49,noise24,noise14,noise22,noise16,noise22,noise22
16,noise47,noise47,noise40,noise22,noise10,noise12,noise17,noise14,noise2,noise34
17,corr4,noise8,noise42,noise23,noise3,noise39,noise16,noise15,noise15,noise1
18,noise41,x4,x5,noise25,noise40,noise27,noise8,noise27,noise24,noise17
19,noise30,noise46,noise39,noise7,noise47,noise37,noise12,noise22,noise1,noise24
20,noise40,noise14,noise6,noise24,noise2,noise17,noise27,noise40,noise17,noise47
21,noise14,noise3,noise5,noise15,noise41,noise36,noise3,noise3,noise47,noise15
22,noise20,corr4,noise3,noise17,noise17,noise50,noise15,noise34,noise8,noise8
23,noise24,x3,noise7,noise33,noise23,corr1,noise47,noise2,corr1,corr3
24,noise25,noise41,noise10,x5,noise21,noise8,noise40,corr1,corr3,noise35
25,noise29,noise42,noise46,noise21,noise12,noise21,corr1,noise47,corr4,noise49
26,noise23,noise31,corr4,noise14,noise49,noise3,noise34,noise48,noise25,noise25
27,noise31,noise6,noise33,noise10,noise5,noise41,noise24,noise28,noise35,noise28
28,noise39,noise12,noise2,noise3,noise4,corr4,noise25,noise8,noise28,corr4
29,noise33,noise34,noise16,noise26,noise45,noise45,noise2,noise24,noise37,corr1
30,noise34,noise20,noise41,noise2,noise22,noise5,noise48,noise25,noise3,noise48
31,noise35,noise43,noise20,noise4,noise15,noise22,noise28,noise41,noise40,noise37
32,noise38,noise15,corr1,noise40,noise33,noise10,noise10,noise37,noise48,noise40
33,noise32,corr1,noise43,noise36,noise14,noise42,noise32,noise1,noise6,noise45
34,noise10,noise33,noise47,noise47,corr1,noise30,noise37,noise12,noise45,noise9
35,noise2,noise18,noise24,noise27,noise37,noise23,noise41,noise35,noise49,noise6
36,noise15,noise45,noise14,corr1,noise16,noise40,noise21,noise19,noise9,noise3
37,noise4,x5,noise22,corr4,noise8,noise33,noise19,noise5,noise11,noise11
38,noise27,noise29,noise44,noise20,noise36,noise25,noise38,noise21,noise14,noise21
39,noise6,noise4,noise38,noise41,noise42,noise35,noise20,noise26,noise23,noise41
40,noise28,noise44,noise28,noise37,noise1,noise1,noise35,noise23,noise21,noise23
41,noise7,noise28,noise21,noise29,noise26,noise29,noise1,noise20,noise44,noise20
42,noise13,noise22,noise11,noise42,noise29,noise49,noise43,noise11,noise41,noise14
43,noise37,noise38,noise27,noise5,noise25,noise16,noise23,noise43,noise20,noise5
44,noise36,noise13,noise37,noise11,noise31,x3,noise50,noise38,noise5,noise32
45,noise45,noise26,noise17,noise45,noise27,noise48,noise26,noise42,noise19,noise29
46,noise19,noise19,x3,noise44,noise44,noise2,noise33,noise9,noise26,noise31
47,noise18,noise32,noise36,noise43,noise48,noise34,noise11,noise10,noise31,noise30
48,noise42,noise10,noise29,noise16,noise11,noise11,noise5,noise50,noise13,noise44
49,noise43,noise11,noise35,noise31,noise43,noise44,noise30,noise33,noise32,noise19
50,noise44,noise5,noise26,noise1,noise38,noise26,noise42,noise18,noise29,noise10
51,x5,noise17,noise4,noise32,noise35,noise38,noise44,noise32,noise30,noise38
52,x4,noise9,noise9,noise28,noise20,noise43,noise18,noise6,noise43,noise42
53,noise48,noise35,noise32,noise38,noise28,noise32,noise45,noise45,noise12,noise26
54,noise22,noise37,noise31,noise35,noise34,noise20,noise9,noise49,noise10,noise13
55,noise9,noise36,noise1,noise48,noise6,noise28,noise6,noise30,noise42,noise12
56,noise1,noise27,noise45,noise34,noise32,noise6,noise49,noise44,noise50,noise50
57,noise17,noise21,noise34,noise13,noise13,noise9,noise29,noise31,noise38,noise33
58,noise5,noise48,noise13,x3,x3,noise31,noise31,noise29,noise18,noise18
59,noise26,noise1,noise48,noise9,noise9,noise13,noise13,noise13,noise33,noise43
