,1,2,3,4,5,6,7,8,9,10
0,x2,x2,x2,x2,x2,x2,x1,x1,x1,x1
1,x1,noise23,noise30,x1,noise30,x1,x2,x2,x2,x2
2,noise14,noise44,x1,noise30,x1,noise39,noise39,noise3,noise39,noise39
3,noise20,noise10,noise3,noise39,noise39,noise3,noise3,noise39,noise3,corr1
4,noise23,x5,noise44,noise3,corr1,noise44,corr1,corr1,corr1,noise11
5,noise24,noise30,noise1,noise44,noise3,corr1,noise44,noise13,noise11,noise13
6,noise25,noise46,noise23,noise1,noise44,noise13,noise13,noise11,noise13,noise44
7,noise29,x1,corr1,corr1,noise13,noise11,noise11,noise44,noise44,noise3
8,noise30,noise19,noise39,noise25,noise11,noise28,noise46,noise46,noise46,noise46
9,noise31,noise12,noise25,noise46,noise28,noise46,noise41,noise41,noise47,noise47
10,noise32,x3,noise46,noise37,noise46,noise41,noise12,noise43,noise43,corr2
11,noise33,noise3,corr4,noise49,noise37,noise1,noise43,noise47,corr2,x6
12,noise34,noise27,noise36,noise23,noise1,corr4,noise1,noise9,x6,noise26
13,noise35,noise45,noise37,corr4,noise49,noise24,noise9,corr2,noise26,noise24
14,noise38,noise1,noise17,noise13,noise43,noise12,noise47,noise40,noise41,corr4
15,noise39,noise39,noise43,noise28,noise27,noise50,noise26,x6,noise40,noise41
16,noise40,noise25,noise22,noise11,noise23,noise43,noise24,noise26,noise24,noise40
17,noise41,noise16,noise40,noise43,noise47,noise48,corr4,noise12,corr4,noise8
18,noise46,noise47,noise28,noise8,noise36,noise33,corr2,noise24,noise8,noise43
19,noise47,noise17,noise4,noise45,noise33,noise9,noise28,corr4,noise9,noise45
20,noise49,corr1,noise27,noise36,noise40,noise47,x6,corr3,noise45,noise37
21,noise16,noise8,noise49,noise47,noise41,corr2,noise40,noise1,noise37,noise9
22,noise21,noise41,noise13,noise27,noise12,noise42,corr3,noise8,corr3,corr3
23,noise3,noise5,noise11,noise33,noise50,noise45,noise45,noise45,noise22,noise21
24,noise8,corr4,noise41,noise41,corr4,noise26,noise8,noise42,noise28,noise22
25,x3,noise18,noise26,noise50,noise24,x6,noise42,noise37,noise21,noise15
26,x6,noise36,noise47,noise40,noise45,noise40,noise37,noise28,noise42,noise5
27,corr1,noise37,noise8,noise4,noise48,noise22,noise33,noise22,noise15,x4
28,corr2,noise24,noise12,noise12,noise4,noise30,noise22,noise14,x4,noise42
29,corr3,noise40,noise50,x5,noise9,corr3,noise48,noise10,noise5,noise28
30,corr4,noise43,noise16,noise9,noise26,noise8,noise10,noise21,noise14,noise25
31,noise50,noise13,noise9,noise48,x6,noise37,noise14,noise2,noise2,noise38
32,noise12,noise4,noise45,noise24,corr2,noise36,x5,x4,noise38,noise2
33,noise11,noise28,x3,x6,noise42,noise23,noise2,noise15,noise1,noise48
34,noise9,noise22,noise33,noise42,noise22,noise14,noise21,noise33,noise48,x5
35,noise22,noise49,noise42,noise26,x5,noise16,x4,noise38,noise25,noise10
36,noise48,noise34,x5,corr2,corr3,x5,noise15,noise5,x5,noise14
37,x4,noise50,noise48,noise22,noise8,noise49,noise16,noise48,noise10,noise16
38,x5,noise11,noise24,noise10,noise16,noise10,noise50,x5,noise12,noise32
39,noise45,noise26,noise10,corr3,noise15,x4,noise38,noise16,noise16,noise35
40,noise44,noise15,x6,noise14,noise2,noise21,noise5,noise35,noise35,noise29
41,noise43,noise42,corr2,noise2,noise14,noise27,noise35,noise25,noise32,noise20
42,noise42,noise9,x4,noise16,x4,noise2,noise25,noise32,noise33,noise1
43,noise18,noise14,noise6,x4,noise10,noise15,noise36,noise50,noise29,noise7
44,noise19,x4,noise20,noise15,noise25,noise4,noise27,noise29,noise20,noise12
45,noise37,noise31,corr3,noise17,noise21,noise5,noise23,noise27,noise7,noise33
46,noise36,noise48,noise38,noise20,noise5,noise38,noise29,noise23,noise23,noise31
47,noise10,noise6,noise14,noise5,noise38,noise29,noise4,noise20,noise31,noise6
48,noise2,corr2,noise15,noise21,noise29,x3,noise32,noise7,noise6,noise23
49,noise15,noise20,noise21,noise6,noise17,noise25,noise30,noise36,noise17,noise17
50,noise4,noise33,noise2,x3,x3,noise35,noise7,noise19,noise36,noise36
51,noise6,x6,noise19,noise38,noise35,noise18,noise17,noise17,noise27,noise49
52,noise28,corr3,noise5,noise29,noise20,noise17,noise20,noise4,noise19,noise27
53,noise27,noise29,noise18,noise18,noise18,noise32,noise19,noise6,noise4,noise4
54,noise7,noise38,noise29,noise35,noise7,noise7,noise34,noise31,noise50,noise19
55,noise13,noise21,noise35,noise7,noise31,noise19,noise49,noise34,noise34,noise34
56,noise1,noise2,noise31,noise19,noise6,noise34,noise31,noise49,noise49,noise50
57,noise17,noise32,noise34,noise32,noise32,noise31,noise6,x3,noise30,noise30
58,noise5,noise35,noise32,noise31,noise19,noise6,x3,noise30,x3,x3
59,noise26,noise7,noise7,noise34,noise34,noise20,noise18,noise18,noise18,noise18
