R,Time,Perf Mean,Perf Var,Perf Improvement
0,0.0667,14.229861,147.010143,0
1,0.3333,14.308668,138.656902,-0.07880700000000118
2,0.6667,12.926225,115.734644,1.3824430000000003
3,1.1,18.920883,236.740967,-5.994657999999999
4,1.7167,26.642789,411.027775,-7.721906000000001
5,2.75,32.370657,553.156658,-5.727868000000001
6,4.3167,31.441677,499.516256,0.9289800000000028
7,6.6,27.436878,405.196705,4.004798999999998
8,9.7,22.04945,344.000344,5.387428
9,12.9833,4.779293,26.706013,17.270157
10,14.95,3.750241,0.900741,1.029052
