Ybar,x3,noise5,noise8,x2,corr2,noise7,noise3,noise4,corr1,noise1,noise2,noise9,x1,noise6,noise10
-2.16632,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
-2.13981,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
-2.11476,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1
-2.14488,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0
-2.16459,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0
-2.06501,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
-2.14172,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1
-2.19082,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
-2.14771,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
-2.13943,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
-2.11079,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0
-2.13932,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
-2.10995,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0
-2.10032,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0
-2.18204,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1
-2.20107,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
-2.12213,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0
-2.14305,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1
-2.19597,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1
-2.14503,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1
-2.14579,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0
-2.14248,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0
-2.12895,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
-2.15782,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1
-2.16419,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0
-2.10675,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0
-2.11664,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1
-2.08433,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0
-2.12745,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
-2.1055,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1
-2.14391,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1
-2.15485,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
-2.14578,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
-2.15533,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0
-2.16225,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1
-2.13449,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
-2.1354,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1
-2.13115,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1
-2.174,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1
-2.12309,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1
-2.13937,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1
-2.12196,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0
-2.10365,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0
-2.11058,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0
-2.11776,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1
-2.15087,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0
-2.12255,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0
-2.10566,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1
-2.13684,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1
-2.21796,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1
