Ybar,x1,x2,x3,corr1,corr2,noise1,noise2,noise3,noise4,noise5,noise6,noise7,noise8,noise9,noise10
-2.05248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-2.05241,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
-2.04466,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
-2.03093,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0
-2.03931,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0
-2.04205,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
-2.05308,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
-2.04819,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
-2.04405,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
-2.0099,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0
-2.0741,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
-2.03955,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1
-2.02142,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0
-2.00836,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1
-2.0402,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0
-2.00579,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1
-2.04052,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1
-2.01698,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1
-2.03386,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0
-2.02799,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1
-2.04322,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1
-2.05407,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1
-2.02196,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1
-2.04202,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0
-2.02958,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1
-2.03873,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
-2.03492,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
-1.99876,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1
-2.03177,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
-2.01457,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0
-2.04145,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1
-2.01984,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0
-2.04127,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0
-2.03093,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
-2.02971,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
-2.03369,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
-2.04873,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0
-2.02048,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0
-2.03152,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0
-2.0448,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
-2.01009,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1
-2.05143,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1
-2.01791,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1
-2.01423,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0
-2.03172,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1
-1.99248,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
-2.01777,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1
-2.01778,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0
-2.02514,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
-2.04132,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1
-2.04363,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0
-2.07124,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
-2.03138,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
-2.03809,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
-2.02163,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
-2.0349,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
-2.04189,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
-2.03409,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0
-2.04577,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
-2.00442,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1
-2.04447,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
-2.01658,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0
-2.02496,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
-2.02609,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
-2.04255,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1
-2.01814,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0
-2.0209,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
-1.99208,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
-2.05038,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0
-2.06329,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1
-2.01491,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0
-2.02176,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
-2.0598,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
-2.05115,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1
-2.04141,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
-2.03295,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0
-2.05252,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0
-2.03157,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1
-2.04008,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
-2.04011,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0
-2.00108,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1
-2.04024,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
-1.96756,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1
-2.0304,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1
-2.00551,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0
