,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent
0,0,1,x3,1,['x3'],[1],2.22796,0,1,[],"[[1, 1], [1, 0]]",1,
1,0,2,x3,0,['x3'],[0],2.60378,0,0,[],"[[0, 1], [0, 0]]",0,
2,1,3,corr3,1,"['x3', 'corr3']","[1, 1]",2.71559,0,0,[1],"[[1, 1, 1], [1, 1, 0]]",11,1
3,1,4,corr3,0,"['x3', 'corr3']","[1, 0]",2.12796,0,1,[1],"[[1, 0, 1], [1, 0, 0]]",10,1
4,2,5,x5,1,"['x3', 'corr3', 'x5']","[1, 0, 1]",2.11314,0,1,"[1, 0]","[[1, 0, 1, 1], [1, 0, 1, 0]]",101,10
5,2,6,x5,0,"['x3', 'corr3', 'x5']","[1, 0, 0]",2.17811,0,0,"[1, 0]","[[1, 0, 0, 1], [1, 0, 0, 0]]",100,10
6,3,7,corr2,1,"['x3', 'corr3', 'x5', 'corr2']","[1, 0, 1, 1]",2.11954,0,0,"[1, 0, 1]","[[1, 0, 1, 1, 1], [1, 0, 1, 1, 0]]",1011,101
7,3,8,corr2,0,"['x3', 'corr3', 'x5', 'corr2']","[1, 0, 1, 0]",2.11646,0,1,"[1, 0, 1]","[[1, 0, 1, 0, 1], [1, 0, 1, 0, 0]]",1010,101
8,4,9,noise39,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39']","[1, 0, 1, 0, 1]",2.11788,0,0,"[1, 0, 1, 0]","[[1, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 0]]",10101,1010
9,4,10,noise39,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39']","[1, 0, 1, 0, 0]",2.09437,0,1,"[1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 0]]",10100,1010
10,5,11,x4,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4']","[1, 0, 1, 0, 0, 1]",2.08759,0,1,"[1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0]]",101001,10100
11,5,12,x4,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4']","[1, 0, 1, 0, 0, 0]",2.29047,0,0,"[1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 0, 0]]",101000,10100
12,6,13,noise22,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22']","[1, 0, 1, 0, 0, 1, 1]",2.09809,0,1,"[1, 0, 1, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0]]",1010011,101001
13,6,14,noise22,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22']","[1, 0, 1, 0, 0, 1, 0]",2.09864,0,0,"[1, 0, 1, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 0, 0]]",1010010,101001
14,7,15,noise4,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4']","[1, 0, 1, 0, 0, 1, 1, 1]",2.0994,0,0,"[1, 0, 1, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 1, 0]]",10100111,1010011
15,7,16,noise4,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4']","[1, 0, 1, 0, 0, 1, 1, 0]",2.08826,0,1,"[1, 0, 1, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 0]]",10100110,1010011
16,8,17,noise27,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27']","[1, 0, 1, 0, 0, 1, 1, 0, 1]",2.10511,0,1,"[1, 0, 1, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0]]",101001101,10100110
