,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
1,0,2,x6,0,['x6'],[0],8.78905,0,0,[],"[[0, 1], [0, 0]]",0,,0
3,1,4,x2,0,"['x6', 'x2']","[1, 0]",14.91148,0,0,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,0
5,2,6,x5,0,"['x6', 'x2', 'x5']","[1, 1, 0]",1.99936,0,0,"[1, 1]","[[1, 1, 0, 1], [1, 1, 0, 0]]",110,11,0
6,3,7,noise46,1,"['x6', 'x2', 'x5', 'noise46']","[1, 1, 1, 1]",1.93817,0,0,"[1, 1, 1]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 0]]",1111,111,0
8,4,9,noise7,1,"['x6', 'x2', 'x5', 'noise46', 'noise7']","[1, 1, 1, 0, 1]",1.97198,0,0,"[1, 1, 1, 0]","[[1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 1, 0]]",11101,1110,0
10,5,11,noise4,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4']","[1, 1, 1, 0, 0, 1]",1.95371,0,0,"[1, 1, 1, 0, 0]","[[1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 0, 0, 1, 0]]",111001,11100,0
12,6,13,corr2,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2']","[1, 1, 1, 0, 0, 0, 1]",1.94284,0,0,"[1, 1, 1, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 1, 0]]",1110001,111000,0
14,7,15,noise39,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39']","[1, 1, 1, 0, 0, 0, 0, 1]",1.94834,0,0,"[1, 1, 1, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 1, 0]]",11100001,1110000,0
16,8,17,noise27,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27']","[1, 1, 1, 0, 0, 0, 0, 0, 1]",1.93508,0,0,"[1, 1, 1, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 1, 0]]",111000001,11100000,0
18,9,19,noise36,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1.92633,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]]",1110000001,111000000,0
21,10,22,noise2,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.93143,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]]",11100000000,1110000000,0
23,11,24,noise16,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.954,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]",111000000010,11100000001,0
25,12,26,noise22,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16', 'noise22']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1.94194,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]]",1110000000110,111000000011,0
27,13,28,noise34,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16', 'noise22', 'noise34']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",1.93328,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]]",11100000001110,1110000000111,0
28,14,29,noise1,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16', 'noise22', 'noise34', 'noise1']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",1.93456,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]]",111000000011111,11100000001111,0
30,15,31,noise17,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16', 'noise22', 'noise34', 'noise1', 'noise17']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",1.93063,0,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]]",1110000000111101,111000000011110,0
