,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x3,1,['x3'],[1],2.22796,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,1,4,corr3,0,"['x3', 'corr3']","[1, 0]",2.12796,0,1,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,1
2,2,5,x5,1,"['x3', 'corr3', 'x5']","[1, 0, 1]",2.11314,0,1,"[1, 0]","[[1, 0, 1, 1], [1, 0, 1, 0]]",101,10,1
3,3,8,corr2,0,"['x3', 'corr3', 'x5', 'corr2']","[1, 0, 1, 0]",2.11646,0,1,"[1, 0, 1]","[[1, 0, 1, 0, 1], [1, 0, 1, 0, 0]]",1010,101,1
4,4,10,noise39,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39']","[1, 0, 1, 0, 0]",2.09437,0,1,"[1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 0]]",10100,1010,1
5,5,11,x4,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4']","[1, 0, 1, 0, 0, 1]",2.08759,0,1,"[1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 0]]",101001,10100,1
6,6,13,noise22,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22']","[1, 0, 1, 0, 0, 1, 1]",2.09809,0,1,"[1, 0, 1, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0]]",1010011,101001,1
7,7,16,noise4,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4']","[1, 0, 1, 0, 0, 1, 1, 0]",2.08826,0,1,"[1, 0, 1, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 0]]",10100110,1010011,1
8,8,17,noise27,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27']","[1, 0, 1, 0, 0, 1, 1, 0, 1]",2.10511,0,1,"[1, 0, 1, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0]]",101001101,10100110,1
9,9,20,noise46,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]",2.09592,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]]",1010011010,101001101,1
10,10,21,noise2,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",2.07489,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]]",10100110101,1010011010,1
11,11,24,noise34,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",2.07836,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]]",101001101010,10100110101,1
12,12,26,noise7,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2.08382,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]]",1010011010100,101001101010,1
13,13,28,noise8,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",2.06392,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]]",10100110101000,1010011010100,1
14,14,30,noise47,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",2.08928,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]]",101001101010000,10100110101000,1
15,15,31,noise50,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",2.07585,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",1010011010100001,101001101010000,1
16,16,33,noise15,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",2.07974,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]]",10100110101000011,1010011010100001,1
17,17,36,noise25,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",2.08042,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]]",101001101010000110,10100110101000011,1
