,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x3,1,['x3'],[1],2.12292,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,0,2,x3,0,['x3'],[0],6.51,0,0,[],"[[0, 1], [0, 0]]",0,,0
2,1,3,noise5,1,"['x3', 'noise5']","[1, 1]",2.11587,0,0,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,0
3,1,4,noise5,0,"['x3', 'noise5']","[1, 0]",2.09616,0,1,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,1
4,2,5,noise8,1,"['x3', 'noise5', 'noise8']","[1, 0, 1]",2.09812,0,0,"[1, 0]","[[1, 0, 1, 1], [1, 0, 1, 0]]",101,10,0
5,2,6,noise8,0,"['x3', 'noise5', 'noise8']","[1, 0, 0]",2.08201,0,1,"[1, 0]","[[1, 0, 0, 1], [1, 0, 0, 0]]",100,10,1
6,3,7,x2,1,"['x3', 'noise5', 'noise8', 'x2']","[1, 0, 0, 1]",2.07714,0,1,"[1, 0, 0]","[[1, 0, 0, 1, 1], [1, 0, 0, 1, 0]]",1001,100,1
7,3,8,x2,0,"['x3', 'noise5', 'noise8', 'x2']","[1, 0, 0, 0]",2.0855,0,0,"[1, 0, 0]","[[1, 0, 0, 0, 1], [1, 0, 0, 0, 0]]",1000,100,0
8,4,9,corr2,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2']","[1, 0, 0, 1, 1]",2.09917,0,0,"[1, 0, 0, 1]","[[1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0]]",10011,1001,0
9,4,10,corr2,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2']","[1, 0, 0, 1, 0]",2.07633,0,1,"[1, 0, 0, 1]","[[1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0]]",10010,1001,1
10,5,11,noise7,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7']","[1, 0, 0, 1, 0, 1]",2.07211,0,1,"[1, 0, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0]]",100101,10010,1
11,5,12,noise7,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7']","[1, 0, 0, 1, 0, 0]",2.11313,0,0,"[1, 0, 0, 1, 0]","[[1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0]]",100100,10010,0
12,6,13,noise3,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3']","[1, 0, 0, 1, 0, 1, 1]",2.07842,0,0,"[1, 0, 0, 1, 0, 1]","[[1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",1001011,100101,0
13,6,14,noise3,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3']","[1, 0, 0, 1, 0, 1, 0]",2.07381,0,1,"[1, 0, 0, 1, 0, 1]","[[1, 0, 0, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0]]",1001010,100101,1
14,7,15,noise4,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4']","[1, 0, 0, 1, 0, 1, 0, 1]",2.07251,0,0,"[1, 0, 0, 1, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 1, 0]]",10010101,1001010,0
15,7,16,noise4,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4']","[1, 0, 0, 1, 0, 1, 0, 0]",2.06621,0,1,"[1, 0, 0, 1, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0]]",10010100,1001010,1
16,8,17,corr1,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1']","[1, 0, 0, 1, 0, 1, 0, 0, 1]",2.08498,0,0,"[1, 0, 0, 1, 0, 1, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 1, 0]]",100101001,10010100,0
17,8,18,corr1,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1']","[1, 0, 0, 1, 0, 1, 0, 0, 0]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0]]",100101000,10010100,1
18,9,19,noise1,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2.06574,0,0,"[1, 0, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]]",1001010001,100101000,0
19,9,20,noise1,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]]",1001010000,100101000,1
