,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x3,1,['x3'],[1],1.9908,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,0,2,x3,0,['x3'],[0],6.5933,0,0,[],"[[0, 1], [0, 0]]",0,,0
2,1,3,noise7,1,"['x3', 'noise7']","[1, 1]",1.9921,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,1
3,1,4,noise7,0,"['x3', 'noise7']","[1, 0]",2.02755,0,0,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,0
4,2,5,corr1,1,"['x3', 'noise7', 'corr1']","[1, 1, 1]",1.98442,0,1,"[1, 1]","[[1, 1, 1, 1], [1, 1, 1, 0]]",111,11,1
5,2,6,corr1,0,"['x3', 'noise7', 'corr1']","[1, 1, 0]",1.99549,0,0,"[1, 1]","[[1, 1, 0, 1], [1, 1, 0, 0]]",110,11,0
6,3,7,noise10,1,"['x3', 'noise7', 'corr1', 'noise10']","[1, 1, 1, 1]",1.98442,0,1,"[1, 1, 1]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 0]]",1111,111,1
7,3,8,noise10,0,"['x3', 'noise7', 'corr1', 'noise10']","[1, 1, 1, 0]",1.9908,0,0,"[1, 1, 1]","[[1, 1, 1, 0, 1], [1, 1, 1, 0, 0]]",1110,111,0
8,4,9,x2,1,"['x3', 'noise7', 'corr1', 'noise10', 'x2']","[1, 1, 1, 1, 1]",1.99764,0,0,"[1, 1, 1, 1]","[[1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 0]]",11111,1111,0
9,4,10,x2,0,"['x3', 'noise7', 'corr1', 'noise10', 'x2']","[1, 1, 1, 1, 0]",1.98442,0,1,"[1, 1, 1, 1]","[[1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 0, 0]]",11110,1111,1
10,5,11,noise6,1,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6']","[1, 1, 1, 1, 0, 1]",1.99838,0,0,"[1, 1, 1, 1, 0]","[[1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 0, 1, 0]]",111101,11110,0
11,5,12,noise6,0,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6']","[1, 1, 1, 1, 0, 0]",1.98442,0,1,"[1, 1, 1, 1, 0]","[[1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0]]",111100,11110,1
12,6,13,noise8,1,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6', 'noise8']","[1, 1, 1, 1, 0, 0, 1]",1.98442,0,1,"[1, 1, 1, 1, 0, 0]","[[1, 1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0, 1, 0]]",1111001,111100,1
13,6,14,noise8,0,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6', 'noise8']","[1, 1, 1, 1, 0, 0, 0]",1.98902,0,0,"[1, 1, 1, 1, 0, 0]","[[1, 1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 0]]",1111000,111100,0
