,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent
0,0,1,x1,1,['x1'],[1],2.06332,0,1,[],"[[1, 1], [1, 0]]",1,
1,0,2,x1,0,['x1'],[0],2.12589,0,0,[],"[[0, 1], [0, 0]]",0,
2,1,3,x2,1,"['x1', 'x2']","[1, 1]",2.06621,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1
3,1,4,x2,0,"['x1', 'x2']","[1, 0]",2.08022,0,0,[1],"[[1, 0, 1], [1, 0, 0]]",10,1
4,2,5,corr1,1,"['x1', 'x2', 'corr1']","[1, 1, 1]",2.08931,0,0,"[1, 1]","[[1, 1, 1, 1], [1, 1, 1, 0]]",111,11
5,2,6,corr1,0,"['x1', 'x2', 'corr1']","[1, 1, 0]",2.06332,0,1,"[1, 1]","[[1, 1, 0, 1], [1, 1, 0, 0]]",110,11
6,3,7,noise7,1,"['x1', 'x2', 'corr1', 'noise7']","[1, 1, 0, 1]",2.06332,0,1,"[1, 1, 0]","[[1, 1, 0, 1, 1], [1, 1, 0, 1, 0]]",1101,110
7,3,8,noise7,0,"['x1', 'x2', 'corr1', 'noise7']","[1, 1, 0, 0]",2.09395,0,0,"[1, 1, 0]","[[1, 1, 0, 0, 1], [1, 1, 0, 0, 0]]",1100,110
8,4,9,noise6,1,"['x1', 'x2', 'corr1', 'noise7', 'noise6']","[1, 1, 0, 1, 1]",2.06332,0,1,"[1, 1, 0, 1]","[[1, 1, 0, 1, 1, 1], [1, 1, 0, 1, 1, 0]]",11011,1101
9,4,10,noise6,0,"['x1', 'x2', 'corr1', 'noise7', 'noise6']","[1, 1, 0, 1, 0]",2.06757,0,0,"[1, 1, 0, 1]","[[1, 1, 0, 1, 0, 1], [1, 1, 0, 1, 0, 0]]",11010,1101
10,5,11,noise10,1,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10']","[1, 1, 0, 1, 1, 1]",2.06332,0,1,"[1, 1, 0, 1, 1]","[[1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0]]",110111,11011
11,5,12,noise10,0,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10']","[1, 1, 0, 1, 1, 0]",2.06621,0,0,"[1, 1, 0, 1, 1]","[[1, 1, 0, 1, 1, 0, 1], [1, 1, 0, 1, 1, 0, 0]]",110110,11011
12,6,13,noise9,1,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10', 'noise9']","[1, 1, 0, 1, 1, 1, 1]",2.07288,0,0,"[1, 1, 0, 1, 1, 1]","[[1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1, 0]]",1101111,110111
13,6,14,noise9,0,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10', 'noise9']","[1, 1, 0, 1, 1, 1, 0]",2.06332,0,1,"[1, 1, 0, 1, 1, 1]","[[1, 1, 0, 1, 1, 1, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0]]",1101110,110111
