,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
1,0,2,x3,0,['x3'],[0],6.51,0,0,[],"[[0, 1], [0, 0]]",0,,0
2,1,3,noise5,1,"['x3', 'noise5']","[1, 1]",2.11587,0,0,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,0
4,2,5,noise8,1,"['x3', 'noise5', 'noise8']","[1, 0, 1]",2.09812,0,0,"[1, 0]","[[1, 0, 1, 1], [1, 0, 1, 0]]",101,10,0
7,3,8,x2,0,"['x3', 'noise5', 'noise8', 'x2']","[1, 0, 0, 0]",2.0855,0,0,"[1, 0, 0]","[[1, 0, 0, 0, 1], [1, 0, 0, 0, 0]]",1000,100,0
8,4,9,corr2,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2']","[1, 0, 0, 1, 1]",2.09917,0,0,"[1, 0, 0, 1]","[[1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1, 0]]",10011,1001,0
11,5,12,noise7,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7']","[1, 0, 0, 1, 0, 0]",2.11313,0,0,"[1, 0, 0, 1, 0]","[[1, 0, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 0, 0]]",100100,10010,0
12,6,13,noise3,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3']","[1, 0, 0, 1, 0, 1, 1]",2.07842,0,0,"[1, 0, 0, 1, 0, 1]","[[1, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 1, 0]]",1001011,100101,0
14,7,15,noise4,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4']","[1, 0, 0, 1, 0, 1, 0, 1]",2.07251,0,0,"[1, 0, 0, 1, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 1, 0]]",10010101,1001010,0
16,8,17,corr1,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1']","[1, 0, 0, 1, 0, 1, 0, 0, 1]",2.08498,0,0,"[1, 0, 0, 1, 0, 1, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 1, 0]]",100101001,10010100,0
18,9,19,noise1,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",2.06574,0,0,"[1, 0, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]]",1001010001,100101000,0
