,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x3,1,['x3'],[1],2.12292,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,1,4,noise5,0,"['x3', 'noise5']","[1, 0]",2.09616,0,1,[1],"[[1, 0, 1], [1, 0, 0]]",10,1,1
2,2,6,noise8,0,"['x3', 'noise5', 'noise8']","[1, 0, 0]",2.08201,0,1,"[1, 0]","[[1, 0, 0, 1], [1, 0, 0, 0]]",100,10,1
3,3,7,x2,1,"['x3', 'noise5', 'noise8', 'x2']","[1, 0, 0, 1]",2.07714,0,1,"[1, 0, 0]","[[1, 0, 0, 1, 1], [1, 0, 0, 1, 0]]",1001,100,1
4,4,10,corr2,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2']","[1, 0, 0, 1, 0]",2.07633,0,1,"[1, 0, 0, 1]","[[1, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 0]]",10010,1001,1
5,5,11,noise7,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7']","[1, 0, 0, 1, 0, 1]",2.07211,0,1,"[1, 0, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0]]",100101,10010,1
6,6,14,noise3,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3']","[1, 0, 0, 1, 0, 1, 0]",2.07381,0,1,"[1, 0, 0, 1, 0, 1]","[[1, 0, 0, 1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0]]",1001010,100101,1
7,7,16,noise4,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4']","[1, 0, 0, 1, 0, 1, 0, 0]",2.06621,0,1,"[1, 0, 0, 1, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0]]",10010100,1001010,1
8,8,18,corr1,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1']","[1, 0, 0, 1, 0, 1, 0, 0, 0]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0]]",100101000,10010100,1
9,9,20,noise1,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]]",1001010000,100101000,1
10,10,21,noise2,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1', 'noise2']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",10010100001,1001010000,1
11,11,24,noise9,0,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1', 'noise2', 'noise9']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]]",100101000010,10010100001,1
12,12,25,x1,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1', 'noise2', 'noise9', 'x1']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0]]",1001010000101,100101000010,1
13,13,27,noise6,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1', 'noise2', 'noise9', 'x1', 'noise6']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]]",10010100001011,1001010000101,1
14,14,29,noise10,1,"['x3', 'noise5', 'noise8', 'x2', 'corr2', 'noise7', 'noise3', 'noise4', 'corr1', 'noise1', 'noise2', 'noise9', 'x1', 'noise6', 'noise10']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",2.06082,0,1,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]]",100101000010111,10010100001011,1
